year,round,type,institute,program,quota,category,gender,orank,crank
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)","AI","ST","NA",433,634
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",3079,3406
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",1591,1598
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL (PwD)","NA",73,73
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",964,1093
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","NA",703,703
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",3056,3288
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",1508,1639
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",1056,1149
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","NA",646,646
2017,7,"IIT","Indian Institute of Technology Mandi","Civil Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",6033,7973
2017,7,"IIT","Indian Institute of Technology Mandi","Civil Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",2376,2625
